Time (ms)	LowV Voltage (V)	LowV Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	Pump	Ignition	DO6	DO7	High Side Contactor	Precharge Contactor	Low Side Contactor	DO3	DO4	DO5	DO6	DO7
23060.000000	26.528797	0.269212	0.000000	-3.614936	-0.006291	-439.103773	-442.836863	-0.127788	-0.195433	-1288.566913	-0.002351	-0.001365	-0.001037	-0.000709	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23180.000000	26.525707	0.269869	0.000000	-3.614936	-0.003992	-438.637137	-442.422075	-0.128773	-0.196746	-1289.243991	-0.003992	-0.002679	-0.001694	-0.001037	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23300.000000	26.537036	0.270526	0.000000	-3.600160	-0.001037	-437.963107	-441.644348	-0.127131	-0.194448	-1288.566913	-0.002022	-0.001365	-0.001037	-0.001037	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23420.000000	26.530857	0.269541	0.000000	-3.610011	-0.001365	-437.755713	-441.592499	-0.125818	-0.193462	-1288.566913	-0.002679	-0.001365	-0.001037	-0.000709	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23530.000000	26.531887	0.271183	0.000000	-3.607548	-0.003336	-438.533440	-442.422075	-0.132057	-0.199045	-1288.115527	-0.002022	-0.002022	-0.002351	-0.002022	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23640.000000	26.527767	0.272168	0.000000	-3.605085	-0.003007	-438.533440	-442.266530	-0.127131	-0.195761	-1288.566913	-0.003007	-0.003007	-0.003007	-0.001037	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23760.000000	26.506140	0.269869	0.000000	-3.612474	-0.004977	-438.896379	-442.888711	-0.129102	-0.199045	-1286.761371	-0.001694	-0.001694	-0.002679	-0.002679	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23880.000000	26.519528	0.268884	0.000000	-3.622325	-0.005306	-438.844531	-442.473923	-0.128117	-0.197075	-1287.664142	-0.001694	-0.000380	-0.001365	-0.001365	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24000.000000	26.526737	0.271183	0.000000	-3.607548	-0.002022	-437.963107	-441.644348	-0.127460	-0.195761	-1288.566913	-0.002679	-0.001694	-0.001037	-0.001037	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24110.000000	26.536006	0.270854	0.000000	-3.612474	-0.004321	-438.844531	-442.733166	-0.129102	-0.197731	-1288.792605	-0.003336	-0.002679	-0.002351	-0.001694	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	32.000000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
