Time (ms)	LowV Voltage (V)	LowV Current (I)	Fiducial Sensor (V)	Pressure Vessel Pressure (psi)	Flow Sensor (V)	Fairing Temperature (F)	Reservoir Temperature (F)	Right Hall Effect (V)	Left Hall Effect (V)	Tank PT (psig)	Right Clamp PT (psig)	Left Clamp PT (psig)	Brake PT (psig)	Cooling PT (V)	Displacement (ft)	Velocity (ft/s)	x acceleration (g)	IMU Pressure (psia)	IMU Temperature (F)	Max Cell Voltage (V)	Max Cell ID (#)	Min Cell Voltage (V)	Min Cell ID (#)	State of Charge (%)	Average Voltage (V)	Voltage Delta (V)	Pack Current (I)	Pack Voltage (V)	Max Resistance (Ohm)	Min Resistance (Ohm)	Average Resistance (Ohm)	Resistance Delta (Ohm)	Highest Temperature (F)	BMSStatus.isFault	BMSStatus.isolation	Motor Velocity	Motor Temperature	Controller Temperature	Motor DC Voltage	Motor Error Code	motorStatus.isReady	motorStatus.isOn	motorStatus.isOperEn	motorStatus.isFault	motorStatus.isVoltEn	motorStatus.targetReached	motorStatus.isWarning	isAlive	motorControllerState	State	Pod Power	Dump Valve	Brakes	Clamp	Pump	HighSide	Precharge	Drive	Throttle	Pump	AO2	AO3
341290.000000	26.531887	-54.630134	2.000000	-18.278259	-0.003664	-440.970318	-444.236771	2.920808	3.828754	-1284.504444	22.985799	22.429601	22.390569	5.340246	-18817.789119	-0.049153	0.000054	14.673174	89.162631	4.044100	6.000000	4.034100	33.000000	78.000000	4.041000	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
341390.000000	26.515409	-54.572669	2.000000	-18.217270	0.006516	-438.222349	-443.251651	2.920152	3.825142	-1289.243991	22.663209	22.497326	22.389989	5.343201	-18851.830109	-0.049152	-0.000185	14.673754	89.163510	4.044000	6.000000	4.034100	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
341490.000000	26.516438	-54.605506	2.000000	-18.187136	0.008157	-434.541108	-439.518561	2.921465	3.817918	-1287.889835	22.741852	22.439358	22.439358	5.321200	-18894.425591	-0.049171	-0.000116	14.673174	89.168189	4.044000	6.000000	4.034100	33.000000	78.000000	4.041000	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
341590.000000	26.511289	-54.745064	2.000000	-18.291153	-0.003336	-439.311167	-441.592499	2.920480	3.818903	-1284.955830	22.868125	22.458294	22.302168	5.331052	-18932.805802	-0.049220	-0.000260	14.673754	89.172165	4.044000	6.000000	4.034100	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
341690.000000	26.367104	-55.048807	2.000000	-18.287965	0.009799	-431.948684	-435.889168	2.922122	3.805768	-1289.018298	21.971126	21.239285	20.946549	5.312334	-18971.230782	-0.049283	-0.000045	14.673029	89.174307	4.044000	6.000000	4.033900	33.000000	78.000000	4.040900	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
341790.000000	26.504080	-54.851785	2.000000	-18.302742	-0.001694	-434.592956	-437.340925	2.921793	3.813649	-1287.438449	22.429746	22.137009	22.029673	5.319887	-19009.702803	-0.049336	-0.000449	14.673029	89.175880	4.044100	6.000000	4.034000	33.000000	78.000000	4.040900	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
341890.000000	26.496871	-54.679390	2.000000	-18.217270	0.007172	-435.889168	-442.318378	2.916868	3.816604	-1291.726610	22.546115	22.546115	22.243621	5.326454	-19048.217039	-0.049413	-0.000428	14.673754	89.177291	4.043900	6.000000	4.034000	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
341990.000000	26.492751	-54.884622	2.000000	-18.281302	0.001262	-434.126320	-437.807561	2.920152	3.808395	-1288.566913	22.741272	22.360715	22.175316	5.321857	-19086.774474	-0.049552	-0.000287	14.673754	89.177895	4.044000	6.000000	4.034100	33.000000	78.000000	4.040900	0.009900	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342090.000000	26.532917	-54.580879	2.000000	-18.229439	-0.000052	-440.348136	-444.133075	2.920808	3.816604	-1291.275225	22.780449	22.419408	22.390134	5.322514	-19125.375570	-0.049681	0.000217	14.673609	89.181778	4.044000	6.000000	4.034000	33.000000	78.000000	4.040900	0.010000	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
342190.000000	26.528797	-54.531623	2.000000	-18.246968	0.000276	-441.125863	-444.755256	2.919495	3.823500	-1290.598147	22.770401	21.482362	20.887131	5.298871	-19164.023265	-0.049692	-0.000325	14.673899	89.188442	4.044100	6.000000	4.034000	33.000000	78.000000	4.041000	0.010100	0.000000	145.400000	0.004080	0.004080	0.004080	0.000000	75.200000	0.000000	0.000000	0.000000	32.000000	32.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	1	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000
